dyadid,person,Day,dayOfWeek,time,genderE,genderS,conflict_A,conflict_P,Cconflict_A,Cconflict_P,Cavoid_A,Cavoid_A,woman,man,satisf_A,satisf_P,Csatisf_A,Csatis_P
1,1,1,1,-6.5,1,M,1,2,-0.99,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,2,2,-5.5,1,M,4,3,2.01,1.01,-0.887742718,-1.137742718,0,1,7,6.75,0.675651314,0.425651314
1,1,3,3,-4.5,1,M,3,3,1.01,1.01,-0.887742718,-1.137742718,0,1,6.5,6.5,0.175651314,0.175651314
1,1,4,4,-3.5,1,M,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,5,5,-2.5,1,M,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,6,6,-1.5,1,M,1,2,-0.99,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,7,7,-0.5,1,M,1,2,-0.99,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,8,1,0.5,1,M,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,9,2,1.5,1,M,1,1,-0.99,-0.99,-0.887742718,-1.137742718,0,1,7,6.75,0.675651314,0.425651314
1,1,10,3,2.5,1,M,1,2,-0.99,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,11,4,3.5,1,M,1,3,-0.99,1.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,12,5,4.5,1,M,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,13,6,5.5,1,M,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,1,14,7,6.5,1,M,2,2,0.01,0.01,-0.887742718,-1.137742718,0,1,7,7,0.675651314,0.675651314
1,2,1,1,-6.5,-1,F,2,1,0.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,2,2,-5.5,-1,F,3,4,1.01,2.01,-1.137742718,-0.887742718,1,0,6.75,7,0.425651314,0.675651314
1,2,3,3,-4.5,-1,F,3,3,1.01,1.01,-1.137742718,-0.887742718,1,0,6.5,6.5,0.175651314,0.175651314
1,2,4,4,-3.5,-1,F,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,5,5,-2.5,-1,F,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,6,6,-1.5,-1,F,2,1,0.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,7,7,-0.5,-1,F,2,1,0.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,8,1,0.5,-1,F,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,9,2,1.5,-1,F,1,1,-0.99,-0.99,-1.137742718,-0.887742718,1,0,6.75,7,0.425651314,0.675651314
1,2,10,3,2.5,-1,F,2,1,0.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,11,4,3.5,-1,F,3,1,1.01,-0.99,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,12,5,4.5,-1,F,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,13,6,5.5,-1,F,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
1,2,14,7,6.5,-1,F,2,2,0.01,0.01,-1.137742718,-0.887742718,1,0,7,7,0.675651314,0.675651314
2,1,1,1,-6.5,1,M,6,5,4.01,3.01,-0.262742718,-0.012742718,0,1,4.75,7,-1.574348686,0.675651314
2,1,2,2,-5.5,1,M,1,1,-0.99,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314
2,1,3,3,-4.5,1,M,1,1,-0.99,-0.99,-0.262742718,-0.012742718,0,1,6.25,7,-0.074348686,0.675651314
2,1,4,4,-3.5,1,M,1,1,-0.99,-0.99,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314
2,1,5,5,-2.5,1,M,4,4,2.01,2.01,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314
2,1,6,6,-1.5,1,M,2,3,0.01,1.01,-0.262742718,-0.012742718,0,1,7,7,0.675651314,0.675651314
